path	inputs	targets	training_rows	evaluation_rows	output_width
data/categoric/archive_zip_two_inputs.zip	color,shape	target	51	13	1
data/categoric/archive_zip_two_inputs_two_targets.zip	color,shape	label,weight	51	13	2
data/categoric/archive_zip_two_targets.zip	input	label,weight	102	26	2
data/categoric/class_files_two_inputs	color,shape	target	384	96	1
data/categoric/class_files_two_inputs_two_targets	color,shape	label,weight	360	91	2
data/categoric/class_files_two_targets	input	label,weight	360	91	2
data/categoric/class_subfolders_two_inputs	color,shape	target	51	13	1
data/categoric/class_subfolders_two_inputs_two_targets	color,shape	label,weight	51	13	2
data/categoric/class_subfolders_two_targets	input	label,weight	102	26	2
data/categoric/lookup_tables_two_inputs	color,shape	target	384	96	1
data/categoric/lookup_tables_two_inputs_two_targets	color,shape	label,weight	360	91	2
data/categoric/lookup_tables_two_targets	input	label,weight	360	91	2
data/categoric/records_json_two_inputs.json	color,shape	target	224	56	1
data/categoric/records_json_two_inputs_two_targets.json	color,shape	label,weight	111	28	2
data/categoric/records_json_two_targets.json	input	label,weight	223	56	2
data/categoric/records_jsonl_two_inputs.jsonl	color,shape	target	158	40	1
data/categoric/records_jsonl_two_inputs_two_targets.jsonl	color,shape	label,weight	111	28	2
data/categoric/records_jsonl_two_targets.jsonl	input	label,weight	156	40	2
data/categoric/sample_subfolders_two_inputs	color,shape	target	38	10	1
data/categoric/sample_subfolders_two_inputs_two_targets	color,shape	label,weight	38	10	2
data/categoric/sample_subfolders_two_targets	input	label,weight	38	10	2
data/categoric/samples_sqlite_two_inputs.sqlite	color,shape	target	112	28	1
data/categoric/samples_sqlite_two_inputs_two_targets.sqlite	color,shape	label,weight	111	28	2
data/categoric/samples_sqlite_two_targets.sqlite	input	label,weight	111	28	2
data/categoric/sharded_csv_two_inputs	color,shape	target	491	123	1
data/categoric/sharded_csv_two_inputs_two_targets	color,shape	label,weight	300	76	2
data/categoric/sharded_csv_two_targets	input	label,weight	421	106	2
data/categoric/single_csv_two_inputs.csv	color,shape	target	560	140	1
data/categoric/single_csv_two_inputs_two_targets.csv	color,shape	label,weight	536	135	2
data/categoric/single_csv_two_targets.csv	input	label,weight	536	135	2
data/categoric/single_xlsx_two_inputs.xlsx	color,shape	target	38	10	1
data/categoric/single_xlsx_two_inputs_two_targets.xlsx	color,shape	label,weight	36	10	2
data/categoric/single_xlsx_two_targets.xlsx	input	label,weight	36	10	2
data/image/archive_zip_two_inputs.zip	front,side	target	3	1	1
data/image/archive_zip_two_inputs_two_targets.zip	front,side	class,brightness	2	1	2
data/image/archive_zip_two_targets.zip	input	class,brightness	5	2	2
data/image/arrays_hdf5_two_inputs.h5	front,side	target	28	8	1
data/image/arrays_hdf5_two_inputs_two_targets.h5	front,side	class,brightness	27	7	2
data/image/arrays_hdf5_two_targets.h5	input	class,brightness	48	13	2
data/image/arrays_npz_two_inputs.npz	front,side	target	28	8	1
data/image/arrays_npz_two_inputs_two_targets.npz	front,side	class,brightness	27	7	2
data/image/arrays_npz_two_targets.npz	input	class,brightness	48	13	2
data/image/class_subfolders_two_inputs	front,side	target	16	4	1
data/image/class_subfolders_two_inputs_two_targets	front,side	class,brightness	16	4	2
data/image/class_subfolders_two_targets	input	class,brightness	32	8	2
data/image/embedded_base64_two_inputs.jsonl	front,side	target	9	3	1
data/image/embedded_base64_two_inputs_two_targets.jsonl	front,side	class,brightness	8	3	2
data/image/embedded_base64_two_targets.jsonl	input	class,brightness	16	4	2
data/image/flat_sidecars_two_inputs	front,side	target	3	1	1
data/image/flat_sidecars_two_inputs_two_targets	front,side	class,brightness	2	1	2
data/image/flat_sidecars_two_targets	input	class,brightness	5	2	2
data/image/mixed_formats_two_inputs	front,side	target	4	2	1
data/image/mixed_formats_two_inputs_two_targets	front,side	class,brightness	4	1	2
data/image/mixed_formats_two_targets	input	class,brightness	8	3	2
data/image/multipage_tiff_two_inputs	front,side	target	38	10	1
data/image/multipage_tiff_two_inputs_two_targets	front,side	class,brightness	36	10	2
data/image/multipage_tiff_two_targets	input	class,brightness	36	10	2
data/image/paired_images_two_inputs	front,side	target	9	3	6912
data/image/paired_images_two_inputs_two_targets	front,side	class,brightness	6	2	13824
data/image/paired_images_two_targets	input	class,brightness	9	3	13824
data/image/path_manifest_two_inputs	front,side	target	4	2	1
data/image/path_manifest_two_inputs_two_targets	front,side	class,brightness	4	1	2
data/image/path_manifest_two_targets	input	class,brightness	8	3	2
data/image/pixels_csv_two_targets.csv	input	class,brightness	40	10	2
data/image/pixels_csv_two_views.csv	front,side	target	24	6	1
data/image/pixels_csv_two_views_two_targets.csv	front,side	class,brightness	21	6	2
data/image/sample_subfolders_multiview_two_inputs	front,side	target	12	4	1
data/image/sample_subfolders_multiview_two_inputs_two_targets	front,side	class,brightness	12	4	2
data/image/sample_subfolders_multiview_two_targets	input	class,brightness	25	7	2
data/image/segmentation_masks_two_inputs	front,side	target	11	3	2304
data/image/segmentation_masks_two_inputs_two_targets	front,side	class,brightness	9	3	4608
data/image/segmentation_masks_two_targets	input	class,brightness	16	4	4608
data/image/webdataset_tar_two_inputs.tar	front,side	target	2	1	1
data/image/webdataset_tar_two_inputs_two_targets.tar	front,side	class,brightness	1	1	2
data/image/webdataset_tar_two_targets.tar	input	class,brightness	5	2	2
data/numeric/arrays_hdf5_two_inputs.h5	pressure,flow	target	320	80	1
data/numeric/arrays_hdf5_two_inputs_two_targets.h5	pressure,flow	power,efficiency	301	76	2
data/numeric/arrays_hdf5_two_targets.h5	input	power,efficiency	301	76	2
data/numeric/arrays_npz_two_inputs.npz	pressure,flow	target	320	80	1
data/numeric/arrays_npz_two_inputs_two_targets.npz	pressure,flow	power,efficiency	301	76	2
data/numeric/arrays_npz_two_targets.npz	input	power,efficiency	301	76	2
data/numeric/compressed_csv_two_inputs.csv.gz	pressure,flow	target	240	60	1
data/numeric/compressed_csv_two_inputs_two_targets.csv.gz	pressure,flow	power,efficiency	226	57	2
data/numeric/compressed_csv_two_targets.csv.gz	input	power,efficiency	226	57	2
data/numeric/headerless_tsv_two_inputs.tsv	pressure,flow	target	204	52	1
data/numeric/headerless_tsv_two_inputs_two_targets.tsv	pressure,flow	power,efficiency	192	49	2
data/numeric/headerless_tsv_two_targets.tsv	input	power,efficiency	192	49	2
data/numeric/records_jsonl_two_inputs.jsonl	pressure,flow	target	124	31	1
data/numeric/records_jsonl_two_inputs_two_targets.jsonl	pressure,flow	power,efficiency	111	28	2
data/numeric/records_jsonl_two_targets.jsonl	input	power,efficiency	111	28	2
data/numeric/sample_subfolders_two_inputs	pressure,flow	target	38	10	1
data/numeric/sample_subfolders_two_inputs_two_targets	pressure,flow	power,efficiency	38	10	2
data/numeric/sample_subfolders_two_targets	input	power,efficiency	38	10	2
data/numeric/samples_sqlite_two_inputs.sqlite	pressure,flow	target	112	28	1
data/numeric/samples_sqlite_two_inputs_two_targets.sqlite	pressure,flow	power,efficiency	111	28	2
data/numeric/samples_sqlite_two_targets.sqlite	input	power,efficiency	111	28	2
data/numeric/semicolon_data_two_inputs.data	pressure,flow	target	244	62	1
data/numeric/semicolon_data_two_inputs_two_targets.data	pressure,flow	power,efficiency	160	41	2
data/numeric/semicolon_data_two_targets.data	input	power,efficiency	215	54	2
data/numeric/sharded_csv_two_inputs	pressure,flow	target	244	61	1
data/numeric/sharded_csv_two_inputs_two_targets	pressure,flow	power,efficiency	180	46	2
data/numeric/sharded_csv_two_targets	input	power,efficiency	239	60	2
data/numeric/single_csv_two_inputs.csv	pressure,flow	target	264	66	1
data/numeric/single_csv_two_inputs_two_targets.csv	pressure,flow	power,efficiency	249	63	2
data/numeric/single_csv_two_targets.csv	input	power,efficiency	249	63	2
data/numeric/single_xlsx_two_inputs.xlsx	pressure,flow	target	38	10	1
data/numeric/single_xlsx_two_inputs_two_targets.xlsx	pressure,flow	power,efficiency	36	10	2
data/numeric/single_xlsx_two_targets.xlsx	input	power,efficiency	36	10	2
data/numeric/split_files_two_inputs	pressure,flow	target	102	101	1
data/numeric/split_files_two_inputs_two_targets	pressure,flow	power,efficiency	71	67	2
data/numeric/split_files_two_targets	input	power,efficiency	89	90	2
data/ordinal/arrays_npz_two_inputs.npz	severity,urgency	target	320	80	1
data/ordinal/arrays_npz_two_inputs_two_targets.npz	severity,urgency	score,rank	301	76	2
data/ordinal/arrays_npz_two_targets.npz	input	score,rank	301	76	2
data/ordinal/integer_levels_two_inputs.tsv	severity,urgency	target	332	83	1
data/ordinal/integer_levels_two_inputs_two_targets.tsv	severity,urgency	score,rank	303	76	2
data/ordinal/integer_levels_two_targets.tsv	input	score,rank	512	129	2
data/ordinal/ordered_class_files_two_inputs	severity,urgency	target	448	112	1
data/ordinal/ordered_class_files_two_inputs_two_targets	severity,urgency	score,rank	421	106	2
data/ordinal/ordered_class_files_two_targets	input	score,rank	496	125	2
data/ordinal/ordered_subfolders_two_inputs	severity,urgency	target	51	13	1
data/ordinal/ordered_subfolders_two_inputs_two_targets	severity,urgency	score,rank	51	13	2
data/ordinal/ordered_subfolders_two_targets	input	score,rank	102	26	2
data/ordinal/ratings_xml_two_inputs.xml	severity,urgency	target	112	28	1
data/ordinal/ratings_xml_two_inputs_two_targets.xml	severity,urgency	score,rank	111	28	2
data/ordinal/ratings_xml_two_targets.xml	input	score,rank	111	28	2
data/ordinal/records_jsonl_two_inputs.jsonl	severity,urgency	target	125	32	1
data/ordinal/records_jsonl_two_inputs_two_targets.jsonl	severity,urgency	score,rank	111	28	2
data/ordinal/records_jsonl_two_targets.jsonl	input	score,rank	175	44	2
data/ordinal/sample_subfolders_two_inputs	severity,urgency	target	38	10	1
data/ordinal/sample_subfolders_two_inputs_two_targets	severity,urgency	score,rank	38	10	2
data/ordinal/sample_subfolders_two_targets	input	score,rank	38	10	2
data/ordinal/samples_sqlite_two_inputs.sqlite	severity,urgency	target	112	28	1
data/ordinal/samples_sqlite_two_inputs_two_targets.sqlite	severity,urgency	score,rank	111	28	2
data/ordinal/samples_sqlite_two_targets.sqlite	input	score,rank	111	28	2
data/ordinal/sharded_csv_two_inputs	severity,urgency	target	329	83	1
data/ordinal/sharded_csv_two_inputs_two_targets	severity,urgency	score,rank	302	76	2
data/ordinal/sharded_csv_two_targets	input	score,rank	511	128	2
data/ordinal/single_xlsx_two_inputs.xlsx	severity,urgency	target	38	10	1
data/ordinal/single_xlsx_two_inputs_two_targets.xlsx	severity,urgency	score,rank	36	10	2
data/ordinal/single_xlsx_two_targets.xlsx	input	score,rank	36	10	2
data/ordinal/string_levels_two_inputs.csv	severity,urgency	target	360	90	1
data/ordinal/string_levels_two_inputs_two_targets.csv	severity,urgency	score,rank	347	87	2
data/ordinal/string_levels_two_targets.csv	input	score,rank	494	124	2
data/temporal/chronological_splits_two_inputs	started,ended	target	84	58	1
data/temporal/chronological_splits_two_inputs_two_targets	started,ended	load,cost	71	24	2
data/temporal/chronological_splits_two_targets	input	load,cost	71	66	2
data/temporal/compressed_csv_two_inputs.csv.gz	started,ended	target	160	40	1
data/temporal/compressed_csv_two_inputs_two_targets.csv.gz	started,ended	load,cost	151	38	2
data/temporal/compressed_csv_two_targets.csv.gz	input	load,cost	151	38	2
data/temporal/daily_shards_two_inputs	started,ended	target	137	35	1
data/temporal/daily_shards_two_inputs_two_targets	started,ended	load,cost	111	28	2
data/temporal/daily_shards_two_targets	input	load,cost	178	45	2
data/temporal/entity_subfolders_two_inputs	started,ended	target	139	35	1
data/temporal/entity_subfolders_two_inputs_two_targets	started,ended	load,cost	95	24	2
data/temporal/entity_subfolders_two_targets	input	load,cost	163	41	2
data/temporal/events_jsonl_two_inputs.jsonl	started,ended	target	112	28	1
data/temporal/events_jsonl_two_inputs_two_targets.jsonl	started,ended	load,cost	111	28	2
data/temporal/events_jsonl_two_targets.jsonl	input	load,cost	111	28	2
data/temporal/iso8601_csv_two_inputs.csv	started,ended	target	184	46	1
data/temporal/iso8601_csv_two_inputs_two_targets.csv	started,ended	duration,load	173	44	2
data/temporal/iso8601_csv_two_targets.csv	input	load,cost	174	44	2
data/temporal/series_npz_two_inputs.npz	started,ended	target	320	80	1
data/temporal/series_npz_two_inputs_two_targets.npz	started,ended	load,cost	301	76	2
data/temporal/series_npz_two_targets.npz	input	load,cost	301	76	2
data/temporal/series_sqlite_two_inputs.sqlite	started,ended	target	112	28	1
data/temporal/series_sqlite_two_inputs_two_targets.sqlite	started,ended	load,cost	111	28	2
data/temporal/series_sqlite_two_targets.sqlite	input	load,cost	111	28	2
data/temporal/single_xlsx_two_inputs.xlsx	started,ended	target	32	8	1
data/temporal/single_xlsx_two_inputs_two_targets.xlsx	started,ended	load,cost	30	8	2
data/temporal/single_xlsx_two_targets.xlsx	input	load,cost	30	8	2
data/temporal/unix_epoch_tsv_two_inputs.tsv	started,ended	target	138	35	1
data/temporal/unix_epoch_tsv_two_inputs_two_targets.tsv	started,ended	load,cost	111	28	2
data/temporal/unix_epoch_tsv_two_targets.tsv	input	load,cost	179	45	2
data/temporal/window_subfolders_two_inputs	started,ended	target	38	10	1
data/temporal/window_subfolders_two_inputs_two_targets	started,ended	load,cost	37	10	2
data/temporal/window_subfolders_two_targets	input	load,cost	37	10	2
data/text/archive_zip_two_inputs.zip	title,body	target	32	8	1
data/text/archive_zip_two_inputs_two_targets.zip	title,body	label,length	32	8	2
data/text/archive_zip_two_targets.zip	input	label,length	78	20	2
data/text/autoregressive_lines_two_inputs.txt	title,body	target	62	16	1
data/text/autoregressive_lines_two_inputs_two_targets.txt	title,body	label,length	56	15	2
data/text/autoregressive_lines_two_targets.txt	input	label,length	300	76	2
data/text/class_subfolders_two_inputs	title,body	target	32	8	1
data/text/class_subfolders_two_inputs_two_targets	title,body	label,length	32	8	2
data/text/class_subfolders_two_targets	input	label,length	64	16	2
data/text/documents_mixed_two_inputs	title,body	target	32	8	1
data/text/documents_mixed_two_inputs_two_targets	title,body	label,length	32	8	2
data/text/documents_mixed_two_targets	input	label,length	64	16	2
data/text/documents_txt_two_inputs	title,body	target	32	8	1
data/text/documents_txt_two_inputs_two_targets	title,body	label,length	32	8	2
data/text/documents_txt_two_targets	input	label,length	64	16	2
data/text/paired_subfolders_two_inputs	title,body	target	38	10	1
data/text/paired_subfolders_two_inputs_two_targets	title,body	label,length	38	10	2
data/text/paired_subfolders_two_targets	input	label,length	38	10	2
data/text/records_jsonl_two_inputs.jsonl	title,body	target	64	17	1
data/text/records_jsonl_two_inputs_two_targets.jsonl	title,body	label,length	58	15	2
data/text/records_jsonl_two_targets.jsonl	input	label,length	66	17	2
data/text/records_xml_two_inputs.xml	title,body	target	48	12	1
data/text/records_xml_two_inputs_two_targets.xml	title,body	label,length	47	12	2
data/text/records_xml_two_targets.xml	input	label,length	47	12	2
data/text/sample_subfolders_two_inputs	title,body	target	38	10	1
data/text/sample_subfolders_two_inputs_two_targets	title,body	label,length	38	10	2
data/text/sample_subfolders_two_targets	input	label,length	38	10	2
data/text/sharded_jsonl_two_inputs	title,body	target	67	17	1
data/text/sharded_jsonl_two_inputs_two_targets	title,body	label,length	60	15	2
data/text/sharded_jsonl_two_targets	input	label,length	66	17	2
data/text/single_csv_two_inputs.csv	title,body	target	80	20	1
data/text/single_csv_two_inputs_two_targets.csv	title,body	label,length	75	19	2
data/text/single_csv_two_targets.csv	input	label,length	136	34	2
data/text/single_tsv_two_inputs.tsv	title,body	target	88	22	1
data/text/single_tsv_two_inputs_two_targets.tsv	title,body	label,length	84	21	2
data/text/single_tsv_two_targets.tsv	input	label,length	90	23	2
data/text/single_xlsx_two_inputs.xlsx	title,body	target	25	7	1
data/text/single_xlsx_two_inputs_two_targets.xlsx	title,body	label,length	24	7	2
data/text/single_xlsx_two_targets.xlsx	input	label,length	48	13	2
