input	score	rank
01_very_low	1	1
02_low	2	2
03_medium	3	3
04_high	4	1
05_very_high	5	2
01_very_low	1	3
02_low	2	
03_medium	3	2
04_high	4	3
05_very_high	5	1
01_very_low	1	2
02_low	2	3
03_medium	3	1
04_high	4	
05_very_high	5	3
01_very_low	1	1
02_low	2	2
03_medium	3	3
04_high	4	1
05_very_high	5	2
01_very_low	1	
02_low	2	1
03_medium	3	2
04_high	4	3
05_very_high	5	1
01_very_low	1	2
02_low	2	3
03_medium	3	
04_high	4	2
05_very_high	5	3
01_very_low	1	1
02_low	2	2
03_medium	3	3
04_high	4	1
05_very_high	5	
01_very_low	1	3
02_low	2	1
03_medium	3	2
04_high	4	3
05_very_high	5	1
01_very_low	1	2
02_low	2	
03_medium	3	1
04_high	4	2
05_very_high	5	3
01_very_low	1	1
02_low	2	2
03_medium	3	3
04_high	4	
05_very_high	5	2
01_very_low	1	3
02_low	2	1
03_medium	3	2
04_high	4	3
05_very_high	5	1
01_very_low	1	
02_low	2	3
03_medium	3	1
04_high	4	2
05_very_high	5	3
01_very_low	1	1
02_low	2	2
03_medium	3	
04_high	4	1
05_very_high	5	2
01_very_low	1	3
02_low	2	1
03_medium	3	2
04_high	4	3
05_very_high	5	
01_very_low	1	2
02_low	2	3
03_medium	3	1
04_high	4	2
05_very_high	5	3
01_very_low	1	1
02_low	2	
03_medium	3	3
04_high	4	1
05_very_high	5	2
01_very_low	1	3
02_low	2	1
03_medium	3	2
04_high	4	
05_very_high	5	1
01_very_low	1	2
02_low	2	3
03_medium	3	1
04_high	4	2
05_very_high	5	3
01_very_low	1	
02_low	2	2
03_medium	3	3
04_high	4	1
05_very_high	5	2
01_very_low	1	3
02_low	2	1
03_medium	3	
04_high	4	3
05_very_high	5	1
01_very_low	1	2
02_low	2	3
03_medium	3	1
04_high	4	2
05_very_high	5	
01_very_low	1	1
02_low	2	2
03_medium	3	3
04_high	4	1
05_very_high	5	2
01_very_low	1	3
02_low	2	
03_medium	3	2
04_high	4	3
05_very_high	5	1
01_very_low	1	2
02_low	2	3
03_medium	3	1
04_high	4	
05_very_high	5	3
01_very_low	1	1
02_low	2	2
03_medium	3	3
04_high	4	1
05_very_high	5	2
01_very_low	1	
02_low	2	1
03_medium	3	2
04_high	4	3
05_very_high	5	1
01_very_low	1	2
02_low	2	3
03_medium	3	
04_high	4	2
05_very_high	5	3
01_very_low	1	1
02_low	2	2
03_medium	3	3
04_high	4	1
05_very_high	5	
